Источники видео (Pexels, свободная лицензия):
forest-cabin.mp4 — Pexels, автор apertur 2.8 — https://www.pexels.com/video/rustic-log-cabin-in-tranquil-forest-setting-35639402/
bugatti.mp4 — Pexels, автор Arslan  Ashraf — https://www.pexels.com/video/high-speed-dubai-supercar-on-sheikh-zayed-road-35353790/
vintage-car.mp4 — Pexels, автор UMUT   🆁🅰🆆 — https://www.pexels.com/video/vintage-car-on-rainy-street-at-night-29195381/
winter-soup.mp4 — Pexels, автор Annushka  Ahuja — https://www.pexels.com/video/steaming-bowls-of-soup-on-a-table-8051346/
frozen-lake.mp4 — Pexels, автор Bayarmaa Natsagdorj — https://www.pexels.com/video/winter-stroll-on-frozen-lake-surface-29035027/
lake-como.mp4 — Pexels, автор Earth Photart — https://www.pexels.com/video/scenic-boating-adventure-on-lake-como-italy-32523923/
hot-springs.mp4 — Pexels, автор Anoop A Nair — https://www.pexels.com/video/scenery-with-hot-springs-and-steam-iceland-12699379/
lake-wanaka.mp4 — Pexels, автор kari Kittlaus — https://www.pexels.com/video/wanaka-tree-sunset-18602838/
scottish-highlands.mp4 — Pexels, автор Anna Lupa — https://www.pexels.com/video/peaceful-sheep-grazing-in-scottish-highlands-38211299/
carpathians.mp4 — Pexels, автор Dizzy Fly — https://www.pexels.com/video/scenic-drone-view-over-forested-mountains-30974827/
rio-de-janeiro.mp4 — Pexels, автор Athena Sandrini — https://www.pexels.com/video/drone-footage-of-christ-the-redeemer-statue-2829278/
nissan-gt-r.mp4 — Pexels, автор bpv — https://www.pexels.com/video/luxury-sports-car-in-modern-urban-setting-35412849/
ice-skating.mp4 — Pexels, автор Vladimir Srajber — https://www.pexels.com/video/nighttime-ice-skating-rink-with-christmas-lights-35074832/
osaka-at-night.mp4 — Pexels, автор Ali  Alcántara — https://www.pexels.com/video/neon-lights-on-japanese-restaurant-facade-31387611/
maserati.mp4 — Pexels, автор Amar  Preciado — https://www.pexels.com/video/a-red-sports-car-is-parked-in-a-garage-25526539/
magnolia.mp4 — Pexels, автор Nur — https://www.pexels.com/video/vibrant-pink-magnolia-blossoms-in-spring-sunlight-36419640/
jasmine.mp4 — Pexels, автор Olesia malhcuk — https://www.pexels.com/video/close-up-of-white-flowers-11982464/
orchid.mp4 — Pexels, автор Damir K — https://www.pexels.com/video/vibrant-pink-orchids-blossoming-close-up-36624705/
chrysanthemum.mp4 — Pexels, автор Cheng — https://www.pexels.com/video/a-timelapse-video-of-chrysanthemum-flower-in-full-bloom-15267089/
carnation.mp4 — Pexels, автор MART  PRODUCTION — https://www.pexels.com/video/pink-carnation-flowers-in-a-vase-8798290/
iris.mp4 — Pexels, автор Dmitry Marchenkov — https://www.pexels.com/video/a-purple-iris-flower-with-the-words-the-iris-flower-17157822/
dove.mp4 — Pexels, автор Yana Bykadorova — https://www.pexels.com/video/white-doves-nestled-on-wooden-cage-37421190/
seagull.mp4 — Pexels, автор Hüsna Kefelioğlu — https://www.pexels.com/video/seagulls-perched-in-rainy-urban-setting-29452160/
falcon.mp4 — Pexels, автор Manoo Media — https://www.pexels.com/video/a-kite-is-flying-over-the-water-with-a-bird-on-it-17317722/
whale.mp4 — Pexels, автор Raymundo Guerrero — https://www.pexels.com/video/aerial-footage-of-whales-in-the-ocean-32800188/
jellyfish.mp4 — Pexels, автор Chris Munnik — https://www.pexels.com/video/video-of-a-jellyfish-underwater-7873276/
pufferfish.mp4 — Pexels, автор JUN HO LEE — https://www.pexels.com/video/close-up-of-pufferfish-in-underwater-ocean-scene-34200172/
bulldog.mp4 — Pexels, автор Sapol Churanon — https://www.pexels.com/video/adorable-french-bulldog-puppies-playing-indoors-35556869/
goat.mp4 — Pexels, автор Los Muertos Crew — https://www.pexels.com/video/goats-on-a-farm-8064287/
goldfish.mp4 — Pexels, автор просто аська — https://www.pexels.com/video/colorful-goldfish-in-aquarium-tank-video-34651435/
corgi.mp4 — Pexels, автор Alexey Chudin — https://www.pexels.com/video/walking-a-corgi-dog-on-a-city-street-33955356/
husky.mp4 — Pexels, автор iddea photo — https://www.pexels.com/video/siberian-husky-sitting-on-rock-in-forest-29781558/
hedgehog.mp4 — Pexels, автор Niki  Traupert — https://www.pexels.com/video/close-up-of-hedgehog-foraging-outdoors-34729360/
chinchilla.mp4 — Pexels, автор MART  PRODUCTION — https://www.pexels.com/video/a-chinchilla-on-a-table-8434085/
giraffe.mp4 — Pexels, автор Joolsmagools  ®️ — https://www.pexels.com/video/majestic-giraffes-grazing-in-open-savanna-38479188/
cheetah.mp4 — Pexels, автор Bharath Kumar  Venkatesh — https://www.pexels.com/video/majestic-cheetah-in-african-plains-30333087/
tiger.mp4 — Pexels, автор Rahul Katare — https://www.pexels.com/video/majestic-tiger-roaming-in-natural-habitat-35633866/
crocodile.mp4 — Pexels, автор MC G'Zay — https://www.pexels.com/video/majestic-nile-crocodile-basking-on-riverbank-31702221/
kangaroo.mp4 — Pexels, автор David Pickup |  Advertising & Marketing  🇬🇧 — https://www.pexels.com/video/kangaroos-grazing-peacefully-in-the-zoo-31971436/
hippo.mp4 — Pexels, автор Joolsmagools  ®️ — https://www.pexels.com/video/hippopotamus-grazing-on-dry-land-20776564/
rhino.mp4 — Pexels, автор Joolsmagools  ®️ — https://www.pexels.com/video/african-rhinos-grazing-on-open-plains-35818409/
vr-headset.mp4 — Pexels, автор Artem Podrez — https://www.pexels.com/video/close-up-of-a-virtual-reality-headset-7774956/
home-cinema.mp4 — Pexels, автор Pavel Danilyuk — https://www.pexels.com/video/people-watching-movie-at-the-cinema-7233647/
headphones.mp4 — Pexels, автор cottonbro studio — https://www.pexels.com/video/a-person-listening-to-music-using-a-wireless-headphones-6688142/
stone-castle.mp4 — Pexels, автор HÜSEYİN AVCI — https://www.pexels.com/video/climbing-ancient-castle-stone-steps-outdoors-37617746/
beach-house.mp4 — Pexels, автор Matthias Groeneveld — https://www.pexels.com/video/a-beach-with-a-few-houses-on-it-and-a-cloudy-sky-26510514/
ferrari.mp4 — Pexels, автор Dani Nasr — https://www.pexels.com/video/red-ferrari-car-13358188/
lamborghini.mp4 — Pexels, автор Wagner  Silveira — https://www.pexels.com/video/sleek-blue-supercar-parked-on-city-street-32779590/
mountain-chalet.mp4 — Pexels, автор Image Hunter — https://www.pexels.com/video/charming-snowy-mountain-chalet-in-winter-35523160/
designer-shoes.mp4 — Pexels, автор Alena Darmel — https://www.pexels.com/video/a-person-wearing-high-heels-shoes-8994744/
designer-bag.mp4 — Pexels, автор MART  PRODUCTION — https://www.pexels.com/video/a-video-of-an-orange-handbag-8798149/
